strategy_class,strategy,window_sec,date,title,score,final_margin,winner,question,outcome,loss_requires_goals,line,required_margin,final_total,team,team_goals,loser,spread_side,locked,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,caution
locked_after_result,total_over_locked,180,2026-06-16,Iraq vs. Norway,1-4,3,Norway,Iraq vs. Norway: O/U 4.5,Over,999,4.5,,5,,,,,True,551,196265.122451,0.04,0.99,2397.12,0.9801,437,90650.8641,496,106545.98255,502,170175.343364,551,196265.122451,551,196265.122451,551,196265.122451,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Uzbekistan vs. Colombia: O/U 3.5,Over,999,3.5,,4,,,,,True,166,52045.023371,0.05183895139668645,0.999,1826.2069,0.0971,31,5597.517603,66,16127.537603,79,16815.581535,131,41762.403371,131,41762.403371,166,52045.023371,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: O/U 5.5,Over,999,5.5,,6,,,,,True,168,39124.358963,0.05799995309564932,0.999,1621.3133,0.0971,63,6864.217228,89,12457.829601,96,12966.787701,135,26664.048963,135,26664.048963,168,39124.358963,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Switzerland vs. Bosnia and Herzegovina: O/U 4.5,Over,999,4.5,,5,,,,,True,707,116762.188783,0.07,0.999,1325.7814,0.0971,643,76848.679467,644,76982.009467,645,77109.239467,663,83457.818283,664,84111.818283,707,116762.188783,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Uzbekistan vs. Colombia: Colombia O/U 2.5,Over,999,2.5,,,Colombia,3,,,True,29,1878.416664,0.0839454094292804,0.99,1088.5022,0.9801,6,529.696664,8,742.286664,12,906.326664,29,1878.416664,29,1878.416664,29,1878.416664,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Austria vs. Jordan: O/U 3.5,Over,999,3.5,,4,,,,,True,395,37803.720848,0.65,0.99,52.7962,0.9801,316,18545.903398,317,18645.903398,321,19590.578848,395,37803.720848,395,37803.720848,395,37803.720848,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Austria vs. Jordan: Austria O/U 2.5,Over,999,2.5,,,Austria,3,,,True,29,3774.629514,0.69,0.99,43.9975,0.9801,17,1298.619514,17,1298.619514,18,1349.639514,29,3774.629514,29,3774.629514,29,3774.629514,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-13,Qatar vs. Switzerland,1-1,0,,Qatar vs. Switzerland: O/U 1.5,Over,999,1.5,,2,,,,,True,41,12311.0105,0.98,0.99,1.9808,0.9801,0,0,0,0,1,30.24,41,12311.0105,41,12311.0105,41,12311.0105,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-13,Qatar vs. Switzerland,1-1,0,,Qatar vs. Switzerland: Both Teams to Score,Yes,999,,,,,,,,True,63,7548.47,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,63,7548.47,63,7548.47,63,7548.47,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-13,United States vs. Paraguay,4-1,3,United States,United States vs. Paraguay: O/U 4.5,Over,999,4.5,,5,,,,,True,66,6548.72,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,59,5794.42,59,5794.42,66,6548.72,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
